Index,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Clusters
242,113,55,67,-8,9,29,287.0,74,3,8
243,94,70,63,-5,8,53,261.0,17,2,2
244,169,65,26,-7,12,34,288.0,0,4,1
245,104,86,54,-6,72,75,177.0,11,3,5
246,111,87,60,-5,11,44,215.0,3,3,2
247,83,63,41,-7,8,44,220.0,51,7,8
248,175,79,35,-5,38,80,231.0,16,4,1
249,111,57,70,-8,11,71,236.0,1,3,0
250,123,73,49,-3,10,34,240.0,12,4,2
251,128,52,64,-10,11,36,270.0,57,3,8
252,184,82,26,-6,28,40,403.0,2,15,1
253,174,78,68,-6,8,87,270.0,3,8,9
254,73,18,26,-10,12,11,319.0,84,3,3
255,118,84,59,-6,9,43,237.0,0,6,2
256,133,88,46,-3,11,33,247.0,0,6,2
257,139,77,53,-7,6,86,139.0,0,5,9
258,123,34,45,-9,10,21,269.0,96,4,4
259,150,93,24,-3,97,23,185.0,36,8,5
260,98,35,54,-9,13,16,274.0,32,3,7
261,110,87,51,-5,33,43,233.0,1,5,2
262,145,59,43,-5,30,19,227.0,6,3,1
263,110,86,50,-4,64,24,186.0,0,4,5
264,134,36,67,-9,8,29,242.0,57,3,8
265,174,96,49,-2,46,81,277.0,3,39,9
266,79,64,47,-6,15,50,260.0,15,3,2
267,184,44,27,-9,10,8,252.0,41,3,4
268,129,51,69,-10,46,89,125.0,63,3,6
269,133,72,87,-10,18,97,229.0,9,5,9
270,110,76,50,-6,9,33,287.0,7,3,2
271,105,90,43,-4,12,60,335.0,12,5,2
272,79,48,48,-7,10,22,213.0,60,3,8
273,67,13,47,-14,9,36,281.0,93,8,3
274,118,73,45,-7,29,38,228.0,0,4,2
275,143,74,71,-8,10,64,231.0,26,4,9
276,109,58,74,-12,5,78,260.0,12,5,0
277,100,78,60,-6,11,42,256.0,1,3,2
278,139,77,44,-4,11,20,346.0,0,3,2
279,149,88,18,-4,32,39,226.0,0,5,1
280,80,97,73,-2,18,97,235.0,10,7,9
281,112,78,58,-5,8,60,281.0,28,4,9
282,81,41,66,-9,16,37,386.0,60,3,8
283,130,49,95,-8,23,59,376.0,1,23,0
284,98,73,60,-7,14,29,264.0,1,3,2
285,205,47,38,-12,9,31,190.0,34,5,1
286,100,83,71,-5,6,97,243.0,39,4,9
287,134,88,63,-5,17,49,242.0,4,4,2
288,127,93,42,-4,13,29,210.0,0,12,2
289,68,47,35,-9,66,20,150.0,94,4,3
290,115,89,74,-4,9,96,203.0,8,5,9
